Category,Preparation,Quantity for one serving,Calories (Kcal)
Cereal,Rice,1 cup,170
Cereal,Phulka,1 No.,80
Cereal,Paratha,1 No.,150
Cereal,Puri,1 No.,80
Cereal,Bread,2 slices,170
Cereal,Poha,1 cup,270
Cereal,Upma,1 cup,270
Cereal,Idli,2 Nos.,150
Cereal,Dosa,1 No.,125
Cereal,Kichidi,1 cup,200
Cereal,Wheat porridge,1 cup,220
Cereal,Semolina porridge,1 cup,220
Cereal,Cereal flakes with milk (corn/wheat/rice),1 cup,220
Pulse,Plain dhal,½ cup,100
Pulse,Sambar,1 cup,110
Vegetable,With gravy,1 cup,170
Vegetable,Dry,1 cup,150
Non-Vegetarian,Boiled egg,1 No.,90
Non-Vegetarian,Ommelette,1 No.,160
Non-Vegetarian,Fried egg,1 No.,160
Non-Vegetarian,Mutton curry,¾ cup,260
Non-Vegetarian,Chicken curry,¾ cup,240
Non-Vegetarian,Fish fried,2 big pieces,190
Non-Vegetarian,Fish cutlet,2 Nos.,190
Non-Vegetarian,Prawn curry,¾ cup,220
Non-Vegetarian,Keema kofta curry,¾ cup (6 small koftas),240
