Category,Food Stuff,Kcal/100g
Leafy vegetables,Chekkur manis,103
Leafy vegetables,Colocasia leaves (dried),277
Leafy vegetables,Curry leaves,108
Leafy vegetables,Fetid cassia (dried) (Chakunda),292
Leafy vegetables,Rape leaves (dried),297
Leafy vegetables,Tamarind leaves,115
Roots & Tubers,Arrow root flour,334
Roots & Tubers,Parsnip,101
Roots & Tubers,Sweet potato,120
Roots & Tubers,Tapioca,157
Roots & Tubers,Yam ordinary,111
Roots & Tubers,Yam wild,110
Other vegetables,"Beans, scarlet runner",158
Other vegetables,"Jack fruit, seeds",133
Other vegetables,Karonda (dry),364
Other vegetables,Lotus stem (dry),234
Other vegetables,Sundakai (dry),269
Other vegetables,Water chestnut (fresh),115
Other vegetables,Water chestnut (dry),330
Fruits,Apricot (dry),306
Fruits,Avacado pear,215
Fruits,Banana,116
Fruits,Bael fruit,116
Fruits,"Currants, red",316
Fruits,Dates (dried),317
Fruits,Dates fresh,144
Fruits,Mahua (ripe),111
Fruits,Raisins,308
Fruits,Seetaphal,104
Fruits,Wood apple,134
