Category,Preparation,Quantity for one serving,Calories (Kcal)
Savoury snacks,Bajji or pakora,8 Nos.,280
Savoury snacks,Besan ka pura,1 No.,220
Savoury snacks,Chat (Dahi-pakori),5 pieces,220
Savoury snacks,Cheese balls,2 Nos.,250
Savoury snacks,Dahi vada,2 Nos.,180
Savoury snacks,Vada,2 Nos.,140
Savoury snacks,Masala vada,2 Nos.,150
Savoury snacks,Masala dosa,1 No.,200
Savoury snacks,Pea-kachori,2 Nos.,380
Savoury snacks,Potato bonda,2 Nos.,200
Savoury snacks,Sago vada,2 Nos.,210
Savoury snacks,Samosa,1 No.,200
Savoury snacks,Sandwiches (butter - 2 tbsp),2 Nos.,200
Savoury snacks,Vegetable puff,1 No.,200
Savoury snacks,Pizza (Cheese and tomato),1 slice,200
Chutneys,Coconut/groundnuts/til,2 tbsp,120
Chutneys,Tomato,1 tbsp,10
Chutneys,Tamarind (with jaggery),1 tbsp,60
Sweets and Desserts,Besan barfi,2 small pieces,400
Sweets and Desserts,Chikki,2 pieces,290
Sweets and Desserts,Fruit cake,1 piece,270
Sweets and Desserts,Rice puttu,½ cup,280
Sweets and Desserts,Sandesh,2 Nos.,140
Sweets and Desserts,Double ka meetha,½ cup,280
Sweets and Desserts,Halwa (kesari),½ cup,320
Sweets and Desserts,Jelly/Jam,1 tbsp,20
Sweets and Desserts,Custard (caramel),½ cup,160
Sweets and Desserts,Shrikhand,½ cup,380
Sweets and Desserts,Milk chocolate,25 g,140
Sweets and Desserts,Ice-cream,½ cup,200
Beverages,Tea (2 tsp sugar + 50 ml toned milk),1 cup,75
Beverages,Coffee (2 tsp sugar + 100 ml),1 cup,110
Beverages,Cow’s milk (2 tsp sugar),1 cup,180
Beverages,Buffalo’s milk (2 tsp sugar),1 cup,320
Beverages,Lassi (2 tsp sugar),1 cup/glass (200 ml),110
Beverages,Squash,1 cup/glass,75
Beverages,Syrups (Sharabats),1 cup/glass,200
Beverages,Cold drinks,1 bottle (200 ml),150
Beverages,Fresh lime juice,1 glass,60
